word,colour,stimulus_condition,correct_response,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,ins.started,text_2.started,ins.stopped,trial.started,Fixation.started,Fixation.stopped,text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,Thank_you.started,text_3.started,text_3.stopped,Thank_you.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.002862800029106438,0.007186100003309548,1.001786400040146,,,,,,,,,,,,,,,819551,001,2025-08-24_14h36.05.683,Stroop Task,,2025.1.1,59.895948767376524,2025-08-24 14h36.11.109095 +0530,
BLUE,red,I,r,0,0,0,b,0,0.10671069996897131,None,0,0,0,2,1.0374454000266269,,,,,1.027680800005328,1.0374454000266269,1.50198050000472,1.50198050000472,1.50198050000472,1.6233218000270426,b,0,0.10671069996897131,None,,,,,819551,001,2025-08-24_14h36.05.683,Stroop Task,,2025.1.1,59.895948767376524,2025-08-24 14h36.11.109095 +0530,
RED,blue,I,b,1,1,0,b,1,1.6666451999917626,None,0,1,1,1,1.6409584000357427,,,,,1.6332996999844909,1.6409584000357427,2.1346521000377834,2.1346521000377834,2.1346521000377834,3.802129200019408,b,1,1.6666451999917626,None,,,,,819551,001,2025-08-24_14h36.05.683,Stroop Task,,2025.1.1,59.895948767376524,2025-08-24 14h36.11.109095 +0530,
BLUE,blue,C,b,2,2,0,b,1,1.7155997999943793,None,0,2,2,3,3.820712700020522,,,,,3.8059995000367053,3.820712700020522,4.301058700017165,4.301058700017165,4.301058700017165,6.018452299991623,b,1,1.7155997999943793,None,,,,,819551,001,2025-08-24_14h36.05.683,Stroop Task,,2025.1.1,59.895948767376524,2025-08-24 14h36.11.109095 +0530,
RED,red,C,r,3,3,0,r,1,1.2969168999698013,None,0,3,3,0,6.036690300039481,,,,,6.022308900021017,6.036690300039481,6.517727600003127,6.517727600003127,6.517727600003127,7.818243700021412,r,1,1.2969168999698013,None,,,,,819551,001,2025-08-24_14h36.05.683,Stroop Task,,2025.1.1,59.895948767376524,2025-08-24 14h36.11.109095 +0530,
BLUE,blue,C,b,4,0,1,b,1,1.6162308999919333,None,1,0,4,3,7.836626400006935,,,,,7.8221973000327125,7.836626400006935,8.317635599989444,8.317635599989444,8.317635599989444,9.934582100016996,b,1,1.6162308999919333,None,,,,,819551,001,2025-08-24_14h36.05.683,Stroop Task,,2025.1.1,59.895948767376524,2025-08-24 14h36.11.109095 +0530,
RED,red,C,r,5,1,1,r,1,1.9663591000135057,None,1,1,5,0,9.95287040004041,,,,,9.938415799988434,9.95287040004041,10.433666400029324,10.433666400029324,10.433666400029324,12.400926500034984,r,1,1.9663591000135057,None,,,,,819551,001,2025-08-24_14h36.05.683,Stroop Task,,2025.1.1,59.895948767376524,2025-08-24 14h36.11.109095 +0530,
RED,blue,I,b,6,2,1,b,1,1.3922396000125445,None,1,2,6,1,12.419311400037259,,,,,12.401985500007868,12.419311400037259,12.90023490000749,12.90023490000749,12.90023490000749,14.300568900012877,b,1,1.3922396000125445,None,,,,,819551,001,2025-08-24_14h36.05.683,Stroop Task,,2025.1.1,59.895948767376524,2025-08-24 14h36.11.109095 +0530,
BLUE,red,I,r,7,3,1,r,1,1.2120856000110507,None,1,3,7,2,14.319495100004133,,,,,14.304608100035693,14.319495100004133,14.800151800038293,14.800151800038293,14.800151800038293,16.017480400041677,r,1,1.2120856000110507,None,,,,,819551,001,2025-08-24_14h36.05.683,Stroop Task,,2025.1.1,59.895948767376524,2025-08-24 14h36.11.109095 +0530,
RED,blue,I,b,8,0,2,b,1,1.0079560999874957,None,2,0,8,1,16.03565850004088,,,,,16.02188340004068,16.03565850004088,16.516364399984013,16.516364399984013,16.516364399984013,17.533777100034058,b,1,1.0079560999874957,None,,,,,819551,001,2025-08-24_14h36.05.683,Stroop Task,,2025.1.1,59.895948767376524,2025-08-24 14h36.11.109095 +0530,
