word,colour,stimulus_condition,correct_response,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,ins.started,text_2.started,ins.stopped,trial.started,Fixation.started,Fixation.stopped,text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,Thank_you.started,text_3.started,text_3.stopped,Thank_you.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.0027982000028714538,0.007146299991291016,1.0007564999978058,,,,,,,,,,,,,,,927151,001,2025-08-24_14h34.21.940,Stroop Task,,2025.1.1,60.081711126816884,2025-08-24 14h34.25.690545 +0530,
RED,blue,I,b,0,0,0,b,1,0.6218491999898106,None,0,0,0,1,1.0386739000095986,,,,,1.0259355999878608,1.0386739000095986,1.5002133999951184,1.5002133999951184,1.5002133999951184,2.1392606000299565,b,1,0.6218491999898106,None,,,,,927151,001,2025-08-24_14h34.21.940,Stroop Task,,2025.1.1,60.081711126816884,2025-08-24 14h34.25.690545 +0530,
BLUE,blue,C,b,1,1,0,b,1,0.4092022000113502,None,0,1,1,3,2.158040600013919,,,,,2.1510998000157997,2.158040600013919,2.650090100010857,2.650090100010857,2.650090100010857,3.0674409000203013,b,1,0.4092022000113502,None,,,,,927151,001,2025-08-24_14h34.21.940,Stroop Task,,2025.1.1,60.081711126816884,2025-08-24 14h34.25.690545 +0530,
RED,red,C,r,2,2,0,r,1,0.4734770999639295,None,0,2,2,0,3.086624799994752,,,,,3.0715039999922737,3.086624799994752,3.5664105000323616,3.5664105000323616,3.5664105000323616,4.051017099991441,r,1,0.4734770999639295,None,,,,,927151,001,2025-08-24_14h34.21.940,Stroop Task,,2025.1.1,60.081711126816884,2025-08-24 14h34.25.690545 +0530,
BLUE,red,I,r,3,3,0,r,1,0.3598308000364341,None,0,3,3,2,4.069298100017477,,,,,4.055024600005709,4.069298100017477,4.54980350000551,4.54980350000551,4.54980350000551,4.917369899980258,r,1,0.3598308000364341,None,,,,,927151,001,2025-08-24_14h34.21.940,Stroop Task,,2025.1.1,60.081711126816884,2025-08-24 14h34.25.690545 +0530,
RED,blue,I,b,4,0,1,b,1,0.47391069994773716,None,1,0,4,1,4.936630000011064,,,,,4.921355200000107,4.936630000011064,5.416714399994817,5.416714399994817,5.416714399994817,5.900524299999233,b,1,0.47391069994773716,None,,,,,927151,001,2025-08-24_14h34.21.940,Stroop Task,,2025.1.1,60.081711126816884,2025-08-24 14h34.25.690545 +0530,
BLUE,red,I,r,5,1,1,r,1,0.7064901000121608,None,1,1,5,2,5.9192941000219434,,,,,5.904637600004207,5.9192941000219434,6.399943500000518,6.399943500000518,6.399943500000518,7.116509900020901,r,1,0.7064901000121608,None,,,,,927151,001,2025-08-24_14h34.21.940,Stroop Task,,2025.1.1,60.081711126816884,2025-08-24 14h34.25.690545 +0530,
RED,red,C,r,6,2,1,r,1,0.7655240999883972,None,1,2,6,0,7.135238900023978,,,,,7.120416300022043,7.135238900023978,7.616319400025532,7.616319400025532,7.616319400025532,8.38385779998498,r,1,0.7655240999883972,None,,,,,927151,001,2025-08-24_14h34.21.940,Stroop Task,,2025.1.1,60.081711126816884,2025-08-24 14h34.25.690545 +0530,
BLUE,blue,C,b,7,3,1,b,1,0.3895883000222966,None,1,3,7,3,8.401793900004122,,,,,8.387721700011753,8.401793900004122,8.882899400021415,8.882899400021415,8.882899400021415,9.283213099988643,b,1,0.3895883000222966,None,,,,,927151,001,2025-08-24_14h34.21.940,Stroop Task,,2025.1.1,60.081711126816884,2025-08-24 14h34.25.690545 +0530,
RED,blue,I,b,8,0,2,b,1,1.1352505999966525,None,2,0,8,1,9.301467899989802,,,,,9.286999800009653,9.301467899989802,9.78246279997984,9.78246279997984,9.78246279997984,10.933189500006847,b,1,1.1352505999966525,None,,,,,927151,001,2025-08-24_14h34.21.940,Stroop Task,,2025.1.1,60.081711126816884,2025-08-24 14h34.25.690545 +0530,
