trial.started,Fixation.started,Fixation.stopped,grating.started,key_resp.started,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,Thank_you.started,text_2.started,Thank_you.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
35.2726,35.28898,35.7894346,35.7715115,35.7715115,36.0718921,36.4222536,left,-1,1,1,0.6384659,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
36.4225208,36.437945,36.9383841,36.9214673,36.9214673,37.2213291,37.6397083,right,1,0,0,0.7132495,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
37.6399817,37.6553867,38.15533,38.15533,38.15533,38.4545699,38.8720113,right,1.5,1,1,0.7002392,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
38.8722738,38.8883881,39.388703,39.3721589,39.3721589,39.6713327,39.9229533,right,1.5,1,1,0.5491234,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
39.9232071,39.9377825,40.4383821,40.4383821,40.4383821,40.7376015,41.1719861,left,-1.5,1,1,0.7184144,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
41.1722635,41.1875905,41.688102,41.6713997,41.6713997,41.971176,43.3551306,right,1,0,0,1.6822162,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
43.3554021,43.3713088,43.8712068,43.8547027,43.8547027,44.1541322,44.5386233,right,1.5,1,1,0.6790162,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
44.5389008,44.5535933,45.0549879,45.0549879,45.0549879,45.3543708,45.8879961,right,1.5,1,1,0.8197182,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
45.8882645,45.9041326,46.4043137,46.4043137,46.4043137,46.7040515,47.0885695,left,-1.5,1,1,0.6762119,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
47.0888386,47.1046088,47.6205092,47.6034348,47.6034348,47.9038061,48.3545497,right,1,0,0,0.7388614,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
48.3548226,48.3703597,48.8705037,48.8540803,48.8540803,49.1537476,49.5214285,left,-1.5,1,1,0.6578107,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
49.5216891,49.5371164,50.0373057,50.0205205,50.0205205,50.320128,51.1378761,left,-1.5,1,1,1.1073812,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
51.1381284,51.1533842,51.6531962,51.6531962,51.6531962,51.9521766,53.1039753,left,-1.5,1,1,1.4454206,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
53.1042466,53.1201063,53.6185449,53.6037581,53.6037581,53.9032485,54.4706238,right,1,0,0,0.8506791,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
54.4708851,54.4867604,54.9871459,54.9871459,54.9871459,55.2860124,56.0536393,left,-1.5,1,1,1.0546334,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
56.053898,56.0700438,56.5850138,56.5522509,56.5522509,56.8527148,57.1370194,left,-1.5,1,1,0.5839649,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
57.1372902,57.1531943,57.6533246,57.6533246,57.6533246,57.9521428,58.1198383,left,-1.5,1,1,0.4634135,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
58.1201048,58.1356392,58.6361576,58.6361576,58.6361576,58.9355037,59.1028878,left,-1,1,1,0.4510347,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
59.1031457,59.1189289,59.6354841,59.6010378,59.6010378,59.9030219,60.0196278,left,-1,1,1,0.4172061,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
60.0199593,60.0356276,60.5358654,60.5195395,60.5195395,60.8188549,60.9696489,left,-1,1,1,0.4444043,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
60.969931,60.9860691,61.4852311,61.4852311,61.4852311,61.7853593,61.9531176,left,-1,1,1,0.4637181,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
61.9534199,61.9689808,62.4688667,62.4688667,62.4688667,62.7699068,62.8525047,left,-1,1,1,0.3768537,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
62.8527552,62.8691701,63.3684016,63.3524693,63.3524693,63.651269,63.8198943,left,-1,1,1,0.462608,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
63.8201713,63.8351905,64.3348263,64.3348263,64.3348263,64.6342718,64.7687946,left,-1,1,1,0.4309354,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
64.7690495,64.7850353,65.284469,65.2681877,65.2681877,65.5680533,65.9021147,right,1,0,0,0.6240091,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
65.9023823,65.9185246,66.4186651,66.4021492,66.4021492,66.7014293,67.0350344,right,1.5,1,1,0.6303772,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
67.0353221,67.0514112,67.567718,67.5508325,67.5508325,67.8510085,68.1003387,right,1.5,1,1,0.5379423,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
68.1005919,68.1179686,68.6185099,68.6018661,68.6018661,68.9193822,69.2519122,left,-1.5,1,1,0.6376979,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
69.2521946,69.2677259,69.7678484,69.7514072,69.7514072,70.0509504,70.5014893,right,1,1,1,0.7440003,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
70.5017656,70.5178921,71.0171745,71.0171745,71.0171745,71.3169218,71.9847681,left,-1,1,1,0.9577792,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
