mouse.time	mouse.clicked_name	num_distr			
					
2.5887508	['target']	10		mean:	1.636044229
1.414244	[None]	10			
1.55256	[None]	5			
1.2886149	[None]	5			
2.3581497	['target']	5			
1.7771001	[None]	5			
1.3829254	['target']	5			
1.217182	['target']	5			
1.4998218	[None]	10			
2.0642689	['target']	10			
1.7595555	[None]	10			
1.7886666	['target']	10			
1.5257884	[None]	10			
1.4133743	['target']	5			
1.1336889	[None]	5			
1.6399043	['target']	5			
1.4631134	[None]	5			
1.4591224	[None]	5			
1.2966129	[None]	5			
1.5493947	[None]	10			
1.6923159	['target']	10			
1.5070817	[None]	10			
1.6434729	[None]	10			
1.8595359	[None]	10			
1.1907553	[None]	10			
2.2845228	['target']	10			
1.3861774	[None]	10			
1.430992	[None]	5			
1.6412841	[None]	10			
1.0574887	[None]	10			
2.0109869	['target']	5			
2.6560198	[None]	10			
1.2600088	[None]	10			
1.9470029	['target']	10			
1.6255674	[None]	10			
1.986582	['target']	10			
1.3301605	['target']	5			
1.9415011	['target']	10			
1.2128747	[None]	5			
1.430986	[None]	10			
1.556615	['target']	10			
1.7755969	[None]	5			
1.5633929	['target']	5			
1.6479923	[None]	5			
1.6488413	['target']	5			
1.9780782	[None]	10			
1.4457697	[None]	10			
1.6728993	[None]	10			
1.139173	[None]	10			
1.9713979	['target']	10			
2.5879109	[None]	5			
1.5001048	['target']	5			
1.9874117	['target']	10			
1.5920649	[None]	10			
1.2541509	['target']	5			
1.4877408	[None]	5			
1.2337847	['target']	5			
1.1665131	[None]	10			
1.2226832	[None]	5			
1.2334583	['target']	5			
1.5759545	[None]	10			
1.3302738	[None]	10			
1.3042858	[None]	5			
2.7501476	['target']	5			
1.9000279	[None]	10			
1.7306121	[None]	10			
1.1715537	['target']	5			
2.8117475	[None]	10			
1.2282749	['target']	10			
1.5228842	[None]	10			
2.230287	[None]	10			
0.9998444	['target']	10			
1.1140228	[None]	10			
1.8656159	['target']	10			
1.0521814	['target']	5			
1.5477561	[None]	10			
2.3314043	['target']	10			
1.4840518	['target']	5			
2.139672	[None]	10			
1.4623115	[None]	5			
1.5237138	['target']	10			
1.6306933	['target']	5			
1.3645739	[None]	5			
1.6592706	[None]	5			
1.1176142	[None]	10			
1.1638839	[None]	10			
1.4600047	[None]	10			
2.4086908	[None]	5			
1.9315523	['target']	10			
1.6151762	['target']	5			
2.2629808	[None]	10			
4.2647938	[None]	10			
2.1724553	[None]	10			
1.1386916	['target']	5			
1.7726879	[None]	10			
1.8782201	['target']	5			
1.2505863	['target']	5			
1.309282	['target']	10			
1.4213493	[None]	10			
1.3850859	[None]	5			
1.9664883	[None]	10			
1.2064931	[None]	5			
2.0148705	['target']	10			
1.1608816	['target']	10			
1.5984103	['target']	5			
2.121465	['target']	10			
1.4420877	['target']	10			
2.942382	[None]	10			
1.4176853	['target']	5			
1.8409564	[None]	5			
1.1386532	[None]	5			
1.8561234	[None]	5			
1.2384385	['target']	5			
1.3502253	[None]	5			
1.325364	['target']	5			
1.8598107	[None]	5			
1.3030136	[None]	5			
1.7494958	['target']	5			
1.1827787	['target']	5			
1.1010473	[None]	10			
2.81168	[None]	5			
1.8344763	[None]	10			
2.8744298	['target']	10			
1.304079	['target']	10			
1.0933777	['target']	10			
1.9075982	['target']	10			
1.7974894	['target']	5			
1.3002859	['target']	5			
2.066626	[None]	10			
2.1927022	['target']	10			
1.9752685	['target']	10			
1.5290413	[None]	5			
0.1889467	[None]	5			
2.0169444	[None]	10			
1.2345034	[None]	5			
1.4813445	[None]	5			
1.3549319	[None]	10			
1.9761723	['target']	10			
0.7024715	[None]	5			
1.3682088	['target']	5			
1.4428216	['target']	5			
1.584911	['target']	5			
1.5886612	[None]	5			
1.5856612	[None]	10			
1.2531024	['target']	5			
1.8163198	['target']	5			
1.7823625	[None]	10			
1.3353213	['target']	5			
1.5156963	[None]	5			
4.4920812	['target']	10			
2.3243712	['target']	5			
1.608421	['target']	10			
1.389185	[None]	5			
1.6501857	['target']	5			
1.4339439	[None]	5			
1.5827572	[None]	10			
1.3128101	[None]	5			
1.1000878	[None]	5			
1.5228032	['target']	5			
1.2767914	[None]	10			
1.4077972	[None]	5			
1.5092272	[None]	10			
1.8862069	[None]	10			
2.1391835	['target']	5			
1.3349675	[None]	5			
1.7918577	['target']	5			
1.6917718	[None]	10			
1.5398997	['target']	10			
1.7196779	['target']	10			
1.7275201	['target']	10			
1.6172137	['target']	5			
1.3241109	[None]	5			
1.3723193	[None]	5			
1.3992146	['target']	10			
2.3723239	['target']	10			
1.6897575	[None]	5			
1.8213139	[None]	5			
1.1723432	['target']	10			
1.7811956	['target']	10			
1.581231	['target']	10			
2.0031135	['target']	5			
1.3561222	[None]	10			
2.4251862	['target']	10			
2.141843	['target']	5			
1.4685303	['target']	10			
1.6825165	['target']	10			
1.2599387	['target']	10			
1.5810386	[None]	5			
1.057892	[None]	5			
1.2079189	[None]	5			
1.6335191	[None]	10			
1.3092126	['target']	10			
0.7680343	[None]	5			
1.5755449	[None]	10			
1.1819245	[None]	5			
1.4854221	['target']	10			
1.569242	['target']	10			
1.1531158	['target']	10			
1.4214727	['target']	10			
2.4046298	['target']	10			
