mouse.time	mouse.clicked_name	num_distr			
					
"2.320034999982454, 3.4858087999746203"	"[None, 'target']"	10			
"1.4284503000089899, 2.261595700052567"	"[None, 'target']"	5		mean:	1.864081511
1.5748377	['target']	10			
2.5623295	['target']	10			
"1.870754399918951, 3.3377755999099463"	"[None, 'target']"	5			
1.6174581	['target']	10			
2.4716043	['target']	10			
1.3919071	['target']	10			
2.3903569	['target']	10			
"1.1567740999162197, 2.072352899936959"	"[None, 'target']"	5			
2.143794	['target']	10			
1.6648003	['target']	5			
1.3502731	['target']	5			
2.1740475	['target']	10			
2.0148623	['target']	5			
2.7556336	['target']	10			
1.7708979	['target']	10			
1.4438672	['target']	10			
1.3368689	['target']	10			
1.7998414	['target']	5			
3.0349527	['target']	10			
1.3384422	['target']	10			
1.1542538	['target']	5			
1.5578486	['target']	5			
5.9972904	['target']	10			
1.6270921	['target']	5			
"1.5680263000540435, 2.835760200046934"	"[None, 'target']"	5			
1.0488643	['target']	5			
1.4002759	['target']	5			
"1.9494788999436423, 3.7318195999832824"	"[None, 'target']"	10			
1.9254124	['target']	5			
1.8111596	['target']	10			
"1.3869929000502452, 2.4689781999913976"	"[None, 'target']"	10			
2.6116122	['target']	10			
"1.3913949000416324, 2.4076364000793546"	"[None, 'target']"	10			
"1.4818057001102716, 2.414351100102067"	"[None, 'target']"	10			
1.9195144	['target']	5			
1.6025968	['target']	10			
1.2823962	['target']	5			
1.7304712	['target']	10			
"1.3684288000222296, 2.56706250004936"	"[None, 'target']"	5			
"2.5427700999425724, 3.5744303999235854"	"[None, 'target']"	10			
1.4506029	['target']	5			
1.4170582	['target']	5			
1.365987	['target']	10			
1.5513177	['target']	5			
2.3575746	['target']	10			
1.6574919	['target']	10			
"1.2844425000948831, 2.2847507999977097"	"[None, 'target']"	5			
"1.4752327000023797, 2.9415367000037804"	"[None, 'target']"	10			
2.0697661	['target']	5			
1.5640801	['target']	5			
2.1008933	['target']	10			
1.4828001	['target']	5			
1.7615969	['target']	10			
1.9402894	['target']	5			
1.3342459	['target']	10			
1.8585248	['target']	10			
1.4011281	['target']	5			
1.5493862	['target']	5			
1.5278185	['target']	10			
1.5088341	['target']	10			
1.7071125	['target']	5			
2.0315339	['target']	5			
3.4714737	['target']	10			
2.0378378	['target']	10			
1.3616238	['target']	5			
1.5886142	['target']	5			
1.3807232	['target']	5			
2.1219721	['target']	10			
1.2569327	['target']	10			
"1.5413720000069588, 2.143121700035408, 3.1915562000358477"	"[None, None, 'target']"	10			
"1.7850776999257505, 2.3502223999239504, 3.2340851000044495"	"[None, None, 'target']"	5			
2.1933931	['target']	10			
1.5361191	['target']	5			
"2.2749263999285176, 3.1755393999628723"	"[None, 'target']"	10			
1.6133713	['target']	10			
1.5781893	['target']	10			
1.4523652	['target']	5			
1.4356235	['target']	5			
1.505953	['target']	5			
1.7409955	['target']	10			
1.4422396	['target']	10			
1.304139	['target']	5			
1.6055198	['target']	5			
1.9788657	['target']	5			
3.4816648	['target']	10			
2.6685275	['target']	10			
1.9921782	['target']	5			
1.132602	['target']	5			
2.3226305	['target']	10			
1.66607	['target']	5			
1.7029765	['target']	10			
1.5004957	['target']	5			
3.59063	['target']	10			
2.4509208	['target']	10			
1.7837735	['target']	5			
2.3497053	['target']	10			
1.5489787	['target']	5			
2.0884697	['target']	10			
1.3589239	['target']	10			
1.2753601	['target']	10			
1.4485735	['target']	10			
2.0469386	['target']	5			
1.4530183	['target']	5			
1.4666774	['target']	5			
1.5241184	['target']	10			
"1.3531578000402078, 2.485579999978654"	"[None, 'target']"	5			
2.185315	['target']	10			
1.2270313	['target']	10			
1.8011412	['target']	5			
2.3571936	['target']	10			
1.9182294	['target']	5			
1.5524807	['target']	10			
"1.6819269999396056, 2.76515789993573"	"[None, 'target']"	5			
2.3491568	['target']	10			
1.5332054	['target']	5			
1.4312603	['target']	10			
2.1024536	['target']	5			
1.2859583	['target']	5			
1.5443147	['target']	10			
2.1240572	['target']	10			
1.7508166	['target']	5			
1.6062254	['target']	10			
1.4819865	['target']	5			
1.4336228	['target']	5			
2.4122147	['target']	10			
1.33865	['target']	10			
2.5905528	['target']	5			
2.3597916	['target']	5			
1.7153932	['target']	5			
1.1457342	['target']	10			
2.623437	['target']	10			
2.8174617	['target']	10			
1.3755921	['target']	10			
1.6551177	['target']	5			
1.5510408	['target']	5			
1.3268445	['target']	5			
1.2089116	['target']	10			
"1.1709183999337256, 2.120479099918157"	"[None, 'target']"	5			
"2.082154900068417, 2.9827435000333935"	"[None, 'target']"	10			
2.0992171	['target']	5			
2.3203242	['target']	10			
2.6280387	['target']	10			
4.1860651	['target']	10			
"0.30553509993478656, 2.1707713999785483"	"[None, 'target']"	10			
1.3729466	['target']	5			
2.8929714	['target']	5			
1.9174431	['target']	10			
1.452964	['target']	5			
1.7986374	['target']	5			
2.0474274	['target']	5			
1.43997	['target']	5			
1.5687303	['target']	10			
2.3760396	['target']	10			
1.3688431	['target']	5			
1.8550313	['target']	5			
2.0872875	['target']	5			
1.7352233	['target']	5			
1.9918552	['target']	10			
1.3199411	['target']	5			
1.284583	['target']	5			
"1.260189599939622, 2.1770006000297144"	"[None, 'target']"	10			
1.8356251	['target']	5			
1.7493986	['target']	5			
2.4716084	['target']	10			
2.1084975	['target']	10			
1.4173582	['target']	10			
1.5646227	['target']	10			
2.2188065	['target']	5			
1.9270707	['target']	5			
2.1416537	['target']	10			
2.1184773	['target']	5			
2.1189601	['target']	10			
2.2812777	['target']	10			
"1.989223099895753, 2.855387599905953"	"[None, 'target']"	5			
1.7612581	['target']	5			
1.7879485	['target']	5			
1.5424692	['target']	10			
1.5674871	['target']	5			
2.0385246	['target']	5			
1.5489106	['target']	10			
1.6379358	['target']	5			
2.9475223	['target']	10			
1.9687336	['target']	5			
1.4809728	['target']	5			
1.9349472	['target']	10			
2.3400703	['target']	10			
3.023898	['target']	10			
1.4916873	['target']	10			
1.7930622	['target']	5			
1.4674846	['target']	5			
1.9570364	['target']	10			
1.5894169	['target']	5			
1.1470482	['target']	10			
"1.8172674999805167, 2.8336343000410125, 3.883434900082648"	"[None, None, 'target']"	10			
1.8336535	['target']	5			
1.9524194	['target']	10			
2.0915992	['target']	5			
2.0693837	['target']	10			
