mouse.time	mouse.clicked_name	num_distr			
					
1.5191933	['target']	10			
1.3392124	['target']	10		Mean:	1.701177149
1.4425357	['target']	10			
2.5235058	['target']	10			
1.4379229	['target']	10			
1.3352197	['target']	5			
1.4004574	[None]	5			
2.0130759	['target']	5			
0.995383	['target']	5			
1.6069791	[None]	10			
2.3987811	[None]	5			
1.8113036	[None]	10			
1.7607084	[None]	10			
1.5065428	['target']	10			
2.1767347	['target']	10			
1.4683861	['target']	5			
1.4763179	['target']	10			
1.5086523	['target']	10			
1.838739	['target']	10			
1.7500255	['target']	5			
1.301157	[None]	5			
1.9301909	[None]	10			
2.1733947	['target']	10			
1.2612428	[None]	5			
2.8491766	[None]	5			
1.6691728	[None]	5			
1.2309722	['target']	5			
1.7071676	['target']	5			
2.1164449	['target']	10			
1.7251376	[None]	10			
1.2344318	['target']	5			
1.2995933	['target']	5			
1.5463649	['target']	10			
1.4245093	['target']	10			
1.4845401	[None]	5			
1.7854721	['target']	5			
1.3364306	['target']	10			
1.014904	['target']	10			
0.6560696	['target']	10			
1.1704944	[None]	5			
1.9812378	['target']	10			
1.9910618	['target']	10			
1.4249591	['target']	10			
1.4652341	['target']	5			
1.7876493	[None]	10			
1.2755945	[None]	10			
2.6914733	['target']	10			
1.5501386	['target']	5			
2.201483	[None]	10			
1.9468155	['target']	5			
1.4170596	[None]	5			
2.897437	['target']	10			
2.0323599	['target']	5			
1.4509672	['target']	5			
1.52229	['target']	10			
1.5385587	['target']	5			
1.2835502	['target']	5			
1.1175676	['target']	10			
1.4496747	[None]	5			
2.125476	['target']	10			
1.8158685	['target']	5			
1.5097277	['target']	10			
1.8941654	['target']	10			
1.9546764	['target']	10			
2.940264	[None]	10			
1.6144941	['target']	5			
1.3981689	['target']	5			
1.075228	[None]	5			
1.2148895	['target']	10			
0.9514676	[None]	5			
1.4859675	[None]	10			
1.8786121	[None]	5			
1.8945777	[None]	10			
1.2418646	[None]	10			
1.5097258	['target']	10			
1.369198	['target']	5			
1.4591087	['target']	5			
1.4742998	['target']	5			
1.4647618	['target']	5			
1.7808734	[None]	10			
0.2321508	[None]	10			
2.284582	['target']	10			
1.4876877	['target']	10			
2.0456357	[None]	5			
1.2009395	['target']	5			
1.3089742	['target']	10			
2.0146405	['target']	10			
1.4833683	['target']	5			
1.3985697	['target']	5			
2.4184589	['target']	10			
1.6629493	['target']	5			
1.4332751	['target']	5			
1.2214277	[None]	10			
1.5058403	[None]	10			
1.8181049	['target']	10			
1.037926	['target']	5			
1.3660241	['target']	10			
1.6864315	[None]	5			
1.7150681	['target']	5			
1.3682566	['target']	5			
1.2745219	['target']	10			
1.4197723	[None]	5			
1.6479214	['target']	10			
2.1737718	['target']	5			
1.7844378	['target']	10			
1.3690688	['target']	5			
1.4070588	[None]	10			
1.3046256	['target']	5			
1.3000686	['target']	5			
1.3803094	['target']	5			
1.2612672	[None]	5			
1.2409491	['target']	5			
1.3919744	[None]	10			
1.5668734	['target']	5			
1.4481589	['target']	5			
1.341339	[None]	5			
2.1657323	[None]	5			
1.1379224	[None]	10			
2.9898744	[None]	10			
1.5630402	['target']	5			
3.4813147	[None]	10			
1.5935589	[None]	10			
2.8059496	['target']	10			
3.1187501	['target']	5			
1.7910742	[None]	5			
1.5802663	[None]	5			
2.1368639	[None]	10			
1.322887	['target']	5			
2.0659495	[None]	10			
0.7073461	[None]	5			
1.2977578	[None]	5			
1.8231418	['target']	5			
3.0250245	[None]	10			
1.4516319	['target']	5			
1.2894775	['target']	10			
1.6903484	[None]	5			
2.6431929	[None]	5			
1.7263094	[None]	5			
1.9325391	['target']	5			
2.3545115	[None]	10			
1.3121267	['target']	10			
1.5773675	['target']	10			
1.2840283	['target']	5			
1.592221	[None]	5			
1.7834488	['target']	5			
1.8747073	['target']	10			
1.2410274	[None]	10			
1.1704261	['target']	10			
4.7934625	[None]	10			
1.2719758	['target']	10			
1.3874153	[None]	5			
2.4552832	[None]	10			
4.326889	['target']	10			
2.4407114	['target']	10			
1.9163937	[None]	5			
1.3663642	['target']	5			
1.7579265	['target']	5			
1.700856	['target']	5			
1.3093736	['target']	10			
1.9986541	['target']	10			
1.6929703	['target']	5			
2.1451917	['target']	5			
1.4147674	[None]	10			
2.741646	[None]	10			
2.2307883	[None]	10			
1.7208666	['target']	10			
1.5271101	['target']	10			
1.5949258	['target']	10			
1.8445986	['target']	10			
1.2639456	[None]	5			
2.2910215	['target']	10			
1.5702081	['target']	5			
1.5817978	['target']	5			
2.4329295	[None]	10			
2.2881369	[None]	5			
1.9853353	[None]	5			
1.6227646	[None]	10			
2.0062071	['target']	10			
1.0049034	['target']	10			
1.6512179	[None]	5			
1.2998151	['target']	5			
1.5924971	[None]	10			
1.1720453	['target']	10			
1.4541189	['target']	5			
2.4113024	['target']	10			
2.0153922	[None]	10			
1.3683094	['target']	5			
1.4061617	['target']	10			
1.9762746	[None]	10			
2.9486977	[None]	10			
1.3185368	['target']	5			
1.3520362	[None]	5			
1.2332306	[None]	5			
1.399564	['target']	10			
1.4157533	['target']	5			
1.142898	[None]	10			
1.7027143	[None]	10			
1.5517301	[None]	10			
2.0091453	['target']	10			
1.291251	['target']	5			
