Characters,Corr_ans,answer,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Welcome.started,text.started,Welcome.stopped,trial.started,Condition_text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,Thank_you_.started,text_2.started,text_2.stopped,Thank_you_.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.004722399986349046,0.023216300003696233,5.005191200005356,,,,,,,,,,,,,4,001,2025-11-18_11h54.10.500,Lexical Decision Task,,2025.1.1,59.78111742719665,2025-11-18 11h54.19.032527 +0530,
rig,0,left,0,0,0,right,0,6.016883499978576,None,0,0,0,72,5.05365640000673,,,,,5.046780199976638,5.05365640000673,5.05365640000673,11.078557799977716,right,0,6.016883499978576,None,,,,,4,001,2025-11-18_11h54.10.500,Lexical Decision Task,,2025.1.1,59.78111742719665,2025-11-18 11h54.19.032527 +0530,
nar,0,left,1,1,0,left,1,0.7793573000235483,None,0,1,1,85,11.102863400010392,,,,,11.08203799999319,11.102863400010392,11.102863400010392,11.888192699989304,left,1,0.7793573000235483,None,,,,,4,001,2025-11-18_11h54.10.500,Lexical Decision Task,,2025.1.1,59.78111742719665,2025-11-18 11h54.19.032527 +0530,
gled,0,left,2,2,0,left,1,0.7382087999721989,None,0,2,2,92,11.904054899991024,,,,,11.891887400008272,11.904054899991024,11.904054899991024,12.654666399990674,left,1,0.7382087999721989,None,,,,,4,001,2025-11-18_11h54.10.500,Lexical Decision Task,,2025.1.1,59.78111742719665,2025-11-18 11h54.19.032527 +0530,
bly,0,left,3,3,0,left,1,0.6505401999456808,None,0,3,3,96,12.67101609997917,,,,,12.657933800015599,12.67101609997917,12.67101609997917,13.337568200018723,left,1,0.6505401999456808,None,,,,,4,001,2025-11-18_11h54.10.500,Lexical Decision Task,,2025.1.1,59.78111742719665,2025-11-18 11h54.19.032527 +0530,
pum,0,left,4,4,0,left,1,0.978208199958317,None,0,4,4,79,13.35431259998586,,,,,13.339501500013284,13.35431259998586,13.35431259998586,14.337140500021633,left,1,0.978208199958317,None,,,,,4,001,2025-11-18_11h54.10.500,Lexical Decision Task,,2025.1.1,59.78111742719665,2025-11-18 11h54.19.032527 +0530,
card,1,right,5,5,0,right,1,0.534098400035873,None,0,5,5,40,14.353804100013804,,,,,14.34051140001975,14.353804100013804,14.353804100013804,14.90441939997254,right,1,0.534098400035873,None,,,,,4,001,2025-11-18_11h54.10.500,Lexical Decision Task,,2025.1.1,59.78111742719665,2025-11-18 11h54.19.032527 +0530,
flower,1,right,6,6,0,right,1,0.527641799999401,None,0,6,6,34,14.92079790000571,,,,,14.908746999979485,14.92079790000571,14.92079790000571,15.45441970002139,right,1,0.527641799999401,None,,,,,4,001,2025-11-18_11h54.10.500,Lexical Decision Task,,2025.1.1,59.78111742719665,2025-11-18 11h54.19.032527 +0530,
spov,0,left,7,7,0,left,1,0.6888030999689363,None,0,7,7,86,15.470728299987968,,,,,15.460721499985084,15.470728299987968,15.470728299987968,16.170512599986978,left,1,0.6888030999689363,None,,,,,4,001,2025-11-18_11h54.10.500,Lexical Decision Task,,2025.1.1,59.78111742719665,2025-11-18 11h54.19.032527 +0530,
gup,0,left,8,8,0,left,1,0.7375835999846458,None,0,8,8,82,16.187077099981252,,,,,16.173845099983737,16.187077099981252,16.187077099981252,16.937015999981668,left,1,0.7375835999846458,None,,,,,4,001,2025-11-18_11h54.10.500,Lexical Decision Task,,2025.1.1,59.78111742719665,2025-11-18 11h54.19.032527 +0530,
