Characters,Corr_ans,answer,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Welcome.started,text.started,Welcome.stopped,trial.started,Condition_text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,Thank_you_.started,text_2.started,text_2.stopped,Thank_you_.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.015000500017777085,0.03192249999847263,5.015119900053833,,,,,,,,,,,,,5,001,2025-11-18_21h54.49.246,Lexical Decision Task,,2025.1.1,60.078715130448636,2025-11-18 21h54.59.077662 +0530,
tiger,1,right,0,0,0,right,1,2.698885200021323,None,0,0,0,25,5.047465200012084,,,,,5.036550900025759,5.047465200012084,5.047465200012084,7.7631596000283025,right,1,2.698885200021323,None,,,,,5,001,2025-11-18_21h54.49.246,Lexical Decision Task,,2025.1.1,60.078715130448636,2025-11-18 21h54.59.077662 +0530,
nif,0,left,1,1,0,left,1,2.4323253000038676,None,0,1,1,89,7.780731600010768,,,,,7.765025900036562,7.780731600010768,7.780731600010768,10.215776500001084,left,1,2.4323253000038676,None,,,,,5,001,2025-11-18_21h54.49.246,Lexical Decision Task,,2025.1.1,60.078715130448636,2025-11-18 21h54.59.077662 +0530,
house,1,right,2,2,0,right,1,0.8587706000544131,None,0,2,2,23,10.23044790001586,,,,,10.218802700052038,10.23044790001586,10.23044790001586,11.098958800022956,right,1,0.8587706000544131,None,,,,,5,001,2025-11-18_21h54.49.246,Lexical Decision Task,,2025.1.1,60.078715130448636,2025-11-18 21h54.59.077662 +0530,
juf,0,left,3,3,0,left,1,2.280945200007409,None,0,3,3,80,11.113902000011876,,,,,11.102877199999057,11.113902000011876,11.113902000011876,13.39861800003564,left,1,2.280945200007409,None,,,,,5,001,2025-11-18_21h54.49.246,Lexical Decision Task,,2025.1.1,60.078715130448636,2025-11-18 21h54.59.077662 +0530,
car,1,right,4,4,0,right,1,0.6661376000265591,None,0,4,4,32,13.414046000048984,,,,,13.401854700001422,13.414046000048984,13.414046000048984,14.081478300038725,right,1,0.6661376000265591,None,,,,,5,001,2025-11-18_21h54.49.246,Lexical Decision Task,,2025.1.1,60.078715130448636,2025-11-18 21h54.59.077662 +0530,
gled,0,left,5,5,0,left,1,3.775770299951546,None,0,5,5,92,14.097444500017446,,,,,14.084713500051294,14.097444500017446,14.097444500017446,17.881366100045852,left,1,3.775770299951546,None,,,,,5,001,2025-11-18_21h54.49.246,Lexical Decision Task,,2025.1.1,60.078715130448636,2025-11-18 21h54.59.077662 +0530,
wug,0,left,6,6,0,left,1,3.2122712999698706,None,0,6,6,61,17.897164100024384,,,,,17.884057500050403,17.897164100024384,17.897164100024384,21.11395690002246,left,1,3.2122712999698706,None,,,,,5,001,2025-11-18_21h54.49.246,Lexical Decision Task,,2025.1.1,60.078715130448636,2025-11-18 21h54.59.077662 +0530,
hal,0,left,7,7,0,left,1,2.275312000012491,None,0,7,7,88,21.129957200028002,,,,,21.11728500004392,21.129957200028002,21.129957200028002,23.412763000000268,left,1,2.275312000012491,None,,,,,5,001,2025-11-18_21h54.49.246,Lexical Decision Task,,2025.1.1,60.078715130448636,2025-11-18 21h54.59.077662 +0530,
taz,0,left,8,8,0,left,1,1.4078880000161007,None,0,8,8,76,23.428797500033397,,,,,23.41638960002456,23.428797500033397,23.428797500033397,24.846756700018886,left,1,1.4078880000161007,None,,,,,5,001,2025-11-18_21h54.49.246,Lexical Decision Task,,2025.1.1,60.078715130448636,2025-11-18 21h54.59.077662 +0530,
ring,1,right,9,9,0,right,1,0.483831999998074,None,0,9,9,36,24.862956600030884,,,,,24.850543800042942,24.862956600030884,24.862956600030884,25.363231600029394,right,1,0.483831999998074,None,,,,,5,001,2025-11-18_21h54.49.246,Lexical Decision Task,,2025.1.1,60.078715130448636,2025-11-18 21h54.59.077662 +0530,
