Characters,Corr_ans,answer,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Welcome.started,text.started,Welcome.stopped,trial.started,Condition_text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,Thank_you_.started,text_2.started,text_2.stopped,Thank_you_.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.015909000008832663,0.03358860005391762,5.0163275000522844,,,,,,,,,,,,,2,001,2025-11-18_11h38.01.901,Lexical Decision Task,,2025.1.1,60.46501222319208,2025-11-18 11h38.19.683518 +0530,
rose,1,right,0,0,0,right,1,3.009842999977991,None,0,0,0,48,5.065070600016043,,,,,5.0553536000079475,5.065070600016043,5.065070600016043,8.091326699999627,right,1,3.009842999977991,None,,,,,2,001,2025-11-18_11h38.01.901,Lexical Decision Task,,2025.1.1,60.46501222319208,2025-11-18 11h38.19.683518 +0530,
del,0,left,1,1,0,left,1,1.3963622999726795,None,0,1,1,59,8.114354000019375,,,,,8.095473500026856,8.114354000019375,8.114354000019375,9.515713300032075,left,1,1.3963622999726795,None,,,,,2,001,2025-11-18_11h38.01.901,Lexical Decision Task,,2025.1.1,60.46501222319208,2025-11-18 11h38.19.683518 +0530,
book,1,right,2,2,0,right,1,0.778854499978479,None,0,2,2,13,9.532749600009993,,,,,9.519298800034449,9.532749600009993,9.532749600009993,10.316030900052283,right,1,0.778854499978479,None,,,,,2,001,2025-11-18_11h38.01.901,Lexical Decision Task,,2025.1.1,60.46501222319208,2025-11-18 11h38.19.683518 +0530,
spl,0,left,3,3,0,left,1,0.7586388000054285,None,0,3,3,52,10.332802100048866,,,,,10.319411200005561,10.332802100048866,10.332802100048866,11.099037000036333,left,1,0.7586388000054285,None,,,,,2,001,2025-11-18_11h38.01.901,Lexical Decision Task,,2025.1.1,60.46501222319208,2025-11-18 11h38.19.683518 +0530,
kus,0,left,4,4,0,left,1,0.6608916000113823,None,0,4,4,58,11.11556110001402,,,,,11.102750600024592,11.11556110001402,11.11556110001402,11.78250550001394,left,1,0.6608916000113823,None,,,,,2,001,2025-11-18_11h38.01.901,Lexical Decision Task,,2025.1.1,60.46501222319208,2025-11-18 11h38.19.683518 +0530,
glin,0,left,5,5,0,left,1,0.8138413999695331,None,0,5,5,65,11.79860760003794,,,,,11.788996700022835,11.79860760003794,11.79860760003794,12.616288600023836,left,1,0.8138413999695331,None,,,,,2,001,2025-11-18_11h38.01.901,Lexical Decision Task,,2025.1.1,60.46501222319208,2025-11-18 11h38.19.683518 +0530,
wall,1,right,6,6,0,right,1,0.629780099960044,None,0,6,6,37,12.632090600032825,,,,,12.619668600033037,12.632090600032825,12.632090600032825,13.265965200029314,right,1,0.629780099960044,None,,,,,2,001,2025-11-18_11h38.01.901,Lexical Decision Task,,2025.1.1,60.46501222319208,2025-11-18 11h38.19.683518 +0530,
window,1,right,7,7,0,right,1,0.9914468999486417,None,0,7,7,14,13.282086200022604,,,,,13.269845800008625,13.282086200022604,13.282086200022604,14.282156300032511,right,1,0.9914468999486417,None,,,,,2,001,2025-11-18_11h38.01.901,Lexical Decision Task,,2025.1.1,60.46501222319208,2025-11-18 11h38.19.683518 +0530,
tim,0,left,8,8,0,right,0,1.4248522999696434,None,0,8,8,62,14.298618300003,,,,,14.285549700027332,14.298618300003,14.298618300003,15.73208040004829,right,0,1.4248522999696434,None,,,,,2,001,2025-11-18_11h38.01.901,Lexical Decision Task,,2025.1.1,60.46501222319208,2025-11-18 11h38.19.683518 +0530,
