study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_word,Refrence,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
laptop,0,0,0,2.9466666666666668,3.366824699973222,,,,,,,,,,,,0,0,0,5,,,,,0.06206179998116568,,0.03275999997276813,0.06206179998116568,0.06206179998116568,3.414254199946299,2.9466666666666668,3.366824699973222,,,,,,,,,,,,,,,2,001,2025-10-13_16h16.28.790,Word_priming_5.0,,2025.1.1,60.09044812469374,2025-10-13 16h16.33.953219 +0530,
Cruise,1,1,0,2.9466666666666668,0.673278099973686,,,,,,,,,,,,0,1,1,11,,,,,3.4453310999670066,,3.4253509999834932,3.4453310999670066,3.4453310999670066,4.114797199959867,2.9466666666666668,0.673278099973686,,,,,,,,,,,,,,,2,001,2025-10-13_16h16.28.790,Word_priming_5.0,,2025.1.1,60.09044812469374,2025-10-13 16h16.33.953219 +0530,
book,2,2,0,2.9466666666666668,0.5468560999725014,,,,,,,,,,,,0,2,2,0,,,,,4.129384499974549,,4.118286199984141,4.129384499974549,4.129384499974549,4.6806613999651745,2.9466666666666668,0.5468560999725014,,,,,,,,,,,,,,,2,001,2025-10-13_16h16.28.790,Word_priming_5.0,,2025.1.1,60.09044812469374,2025-10-13 16h16.33.953219 +0530,
Case,3,3,0,1.8133333333333332,3.8832426000153646,,,,,,,,,,,,0,3,3,10,,,,,4.696064399962779,,4.683230199967511,4.696064399962779,4.696064399962779,8.595986899978016,1.8133333333333332,3.8832426000153646,,,,,,,,,,,,,,,2,001,2025-10-13_16h16.28.790,Word_priming_5.0,,2025.1.1,60.09044812469374,2025-10-13 16h16.33.953219 +0530,
Poster,4,4,0,2.1466666666666665,0.7763012000359595,,,,,,,,,,,,0,4,4,14,,,,,8.627957399992738,,8.604277199949138,8.627957399992738,8.627957399992738,9.396941299957689,2.1466666666666665,0.7763012000359595,,,,,,,,,,,,,,,2,001,2025-10-13_16h16.28.790,Word_priming_5.0,,2025.1.1,60.09044812469374,2025-10-13 16h16.33.953219 +0530,
Police,5,5,0,4.24,1.280190900026355,,,,,,,,,,,,0,5,5,12,,,,,9.41231179999886,,9.400392699986696,9.41231179999886,9.41231179999886,10.697559399995953,4.24,1.280190900026355,,,,,,,,,,,,,,,2,001,2025-10-13_16h16.28.790,Word_priming_5.0,,2025.1.1,60.09044812469374,2025-10-13 16h16.33.953219 +0530,
phone,6,6,0,4.24,0.4411052000359632,,,,,,,,,,,,0,6,6,2,,,,,10.727980199968442,,10.70683379995171,10.727980199968442,10.727980199968442,11.164140599954408,4.24,0.4411052000359632,,,,,,,,,,,,,,,2,001,2025-10-13_16h16.28.790,Word_priming_5.0,,2025.1.1,60.09044812469374,2025-10-13 16h16.33.953219 +0530,
T-shirt,7,7,0,3.0533333333333332,1.8585093999863602,,,,,,,,,,,,0,7,7,7,,,,,11.194414099969435,,11.171953599958215,11.194414099969435,11.194414099969435,13.047029899957124,3.0533333333333332,1.8585093999863602,,,,,,,,,,,,,,,2,001,2025-10-13_16h16.28.790,Word_priming_5.0,,2025.1.1,60.09044812469374,2025-10-13 16h16.33.953219 +0530,
board,8,8,0,3.3733333333333335,1.844481199979782,,,,,,,,,,,,0,8,8,4,,,,,13.077526899985969,,13.05227509996621,13.077526899985969,13.077526899985969,14.913774099957664,3.3733333333333335,1.844481199979782,,,,,,,,,,,,,,,2,001,2025-10-13_16h16.28.790,Word_priming_5.0,,2025.1.1,60.09044812469374,2025-10-13 16h16.33.953219 +0530,
chart,9,9,0,3.006666666666667,1.5780872000032105,,,,,,,,,,,,0,9,9,6,,,,,14.943776999949478,,14.918398199952208,14.943776999949478,14.943776999949478,16.513515099999495,3.006666666666667,1.5780872000032105,,,,,,,,,,,,,,,2,001,2025-10-13_16h16.28.790,Word_priming_5.0,,2025.1.1,60.09044812469374,2025-10-13 16h16.33.953219 +0530,
cushion,10,10,0,3.006666666666667,0.513472400023602,,,,,,,,,,,,0,10,10,1,,,,,16.52734699996654,,16.51663450000342,16.52734699996654,16.52734699996654,17.046190099965315,3.006666666666667,0.513472400023602,,,,,,,,,,,,,,,2,001,2025-10-13_16h16.28.790,Word_priming_5.0,,2025.1.1,60.09044812469374,2025-10-13 16h16.33.953219 +0530,
marble,11,11,0,3.006666666666667,0.41290550003759563,,,,,,,,,,,,0,11,11,3,,,,,17.061161099991295,,17.05015539994929,17.061161099991295,17.061161099991295,17.478172799979802,3.006666666666667,0.41290550003759563,,,,,,,,,,,,,,,2,001,2025-10-13_16h16.28.790,Word_priming_5.0,,2025.1.1,60.09044812469374,2025-10-13 16h16.33.953219 +0530,
Keys,12,12,0,3.006666666666667,0.21582170005422086,,,,,,,,,,,,0,12,12,13,,,,,17.493620199966244,,17.482859799987637,17.493620199966244,17.493620199966244,17.712073799979407,3.006666666666667,0.21582170005422086,,,,,,,,,,,,,,,2,001,2025-10-13_16h16.28.790,Word_priming_5.0,,2025.1.1,60.09044812469374,2025-10-13 16h16.33.953219 +0530,
mouse,13,13,0,3.006666666666667,0.39661419996991754,,,,,,,,,,,,0,13,13,8,,,,,17.743353399971966,,17.71640529995784,17.743353399971966,17.743353399971966,18.128963899973314,3.006666666666667,0.39661419996991754,,,,,,,,,,,,,,,2,001,2025-10-13_16h16.28.790,Word_priming_5.0,,2025.1.1,60.09044812469374,2025-10-13 16h16.33.953219 +0530,
Pastry,14,14,0,3.006666666666667,0.3810420000227168,,,,,,,,,,,,0,14,14,9,,,,,18.14397499995539,,18.131883599970024,18.14397499995539,18.14397499995539,18.529040099994745,3.006666666666667,0.3810420000227168,,,,,,,,,,,,,,,2,001,2025-10-13_16h16.28.790,Word_priming_5.0,,2025.1.1,60.09044812469374,2025-10-13 16h16.33.953219 +0530,
,0,0,0,,,l_pt_p,laptop,old,laptop,"[np.float64(-0.06), np.float64(-0.14333333333333334)]","[np.float64(-0.041666666666666664), np.float64(-0.2816666666666667)]","[1, 1]","[0, 0]","[0, 0]","[4.865165599971078, 6.547453899984248]","[None, 'text_3']",,,,,0,0,0,5,18.576196299982257,,,,,,,,18.547477499989327,18.576196299982257,18.576196299982257,18.576196299982257,0.018448200018610805,25.095225299999584,laptop,"[np.float64(-0.06), np.float64(-0.14333333333333334)]","[np.float64(-0.041666666666666664), np.float64(-0.2816666666666667)]","[1, 1]","[0, 0]","[0, 0]","[4.865165599971078, 6.547453899984248]","[None, 'text_3']",2,001,2025-10-13_16h16.28.790,Word_priming_5.0,,2025.1.1,60.09044812469374,2025-10-13 16h16.33.953219 +0530,
,1,1,0,,,_ho_n_,phone,old,phone,[],[],[],[],[],[],[],,,,,0,1,1,2,25.110240699956194,,,,,,,,25.098536799952853,25.110240699956194,25.110240699956194,25.110240699956194,0.0031498000025749207,35.11055069998838,phone,[],[],[],[],[],[],[],2,001,2025-10-13_16h16.28.790,Word_priming_5.0,,2025.1.1,60.09044812469374,2025-10-13 16h16.33.953219 +0530,
,2,2,0,,,_ru_s_,Cruise,old,cruise,[np.float64(-0.14333333333333334)],[np.float64(-0.2816666666666667)],[1],[0],[0],[6.629651300027035],['text_3'],,,,,0,2,2,11,35.12546899996232,,,,,,,,35.11358839995228,35.12546899996232,35.12546899996232,35.12546899996232,0.018199399986770004,41.74356189998798,cruise,[np.float64(-0.14333333333333334)],[np.float64(-0.2816666666666667)],[1],[0],[0],[6.629651300027035],['text_3'],2,001,2025-10-13_16h16.28.790,Word_priming_5.0,,2025.1.1,60.09044812469374,2025-10-13 16h16.33.953219 +0530,
,3,3,0,,,c_s_io_,cushion,old,cushion,[np.float64(-0.14333333333333334)],[np.float64(-0.2816666666666667)],[1],[0],[0],[4.478307500015944],['text_3'],,,,,0,3,3,1,41.7575115999789,,,,,,,,41.746971899992786,41.7575115999789,41.7575115999789,41.7575115999789,0.0032598000252619386,46.22560139995767,cushion,[np.float64(-0.14333333333333334)],[np.float64(-0.2816666666666667)],[1],[0],[0],[4.478307500015944],['text_3'],2,001,2025-10-13_16h16.28.790,Word_priming_5.0,,2025.1.1,60.09044812469374,2025-10-13 16h16.33.953219 +0530,
,4,4,0,,,v_s_,vase,new,vase,[np.float64(-0.14333333333333334)],[np.float64(-0.2816666666666667)],[1],[0],[0],[3.5271468999562785],['text_3'],,,,,0,4,4,17,46.24029589997372,,,,,,,,46.23084639996523,46.24029589997372,46.24029589997372,46.24029589997372,0.00520489999325946,49.7583878999576,vase,[np.float64(-0.14333333333333334)],[np.float64(-0.2816666666666667)],[1],[0],[0],[3.5271468999562785],['text_3'],2,001,2025-10-13_16h16.28.790,Word_priming_5.0,,2025.1.1,60.09044812469374,2025-10-13 16h16.33.953219 +0530,
,5,5,0,,,_am_ra,camera,new,camera,[np.float64(-0.14333333333333334)],[np.float64(-0.2816666666666667)],[1],[0],[0],[3.7127452000277117],['text_3'],,,,,0,5,5,19,49.77414189995034,,,,,,,,49.76138399995398,49.77414189995034,49.77414189995034,49.77414189995034,0.0028528000111691654,53.47440149995964,camera,[np.float64(-0.14333333333333334)],[np.float64(-0.2816666666666667)],[1],[0],[0],[3.7127452000277117],['text_3'],2,001,2025-10-13_16h16.28.790,Word_priming_5.0,,2025.1.1,60.09044812469374,2025-10-13 16h16.33.953219 +0530,
,6,6,0,,,c_a_,Case,old,case,[np.float64(-0.14333333333333334)],[np.float64(-0.2816666666666667)],[1],[0],[0],[5.4299111000145786],['text_3'],,,,,0,6,6,10,53.489741199999116,,,,,,,,53.47715839999728,53.489741199999116,53.489741199999116,53.489741199999116,0.0026373000000603497,58.90737380000064,case,[np.float64(-0.14333333333333334)],[np.float64(-0.2816666666666667)],[1],[0],[0],[5.4299111000145786],['text_3'],2,001,2025-10-13_16h16.28.790,Word_priming_5.0,,2025.1.1,60.09044812469374,2025-10-13 16h16.33.953219 +0530,
