0.0325 	EXP 	text: autoDraw = True
3.0265 	EXP 	Imported sequence conditions.csv as conditions, 4 conditions, 2 params
3.0280 	EXP 	New trial (rep=0, index=0): <Trial 0 (0 in rep 0) data={'pos': np.int64(-50), 'corr_resp': 'x', 'thisN': 0, 'thisTrialN': 0, 'thisRepN': 0}>
3.0478 	EXP 	text: autoDraw = False
3.0478 	EXP 	Fixation: autoDraw = True
3.9993 	EXP 	Line1: autoDraw = True
3.9993 	EXP 	line2: autoDraw = True
3.9993 	EXP 	line3: autoDraw = True
3.9993 	EXP 	line4: autoDraw = True
4.0494 	EXP 	Fixation: autoDraw = False
5.0161 	INFO 	Keyboard events cleared
5.0159 	EXP 	probe: autoDraw = True
5.7678 	DATA 	Keypress: x
5.8013 	EXP 	Device response: <KeyPress from None: t=5.7662364998832345, value=x, duration=None>
5.8015 	EXP 	New trial (rep=0, index=1): <Trial 1 (1 in rep 0) data={'pos': np.int64(150), 'corr_resp': 'v', 'thisN': 1, 'thisTrialN': 1, 'thisRepN': 0}>
5.8136 	EXP 	Fixation: autoDraw = False
5.8136 	EXP 	Line1: autoDraw = False
5.8136 	EXP 	line2: autoDraw = False
5.8136 	EXP 	line3: autoDraw = False
5.8136 	EXP 	line4: autoDraw = False
5.8136 	EXP 	probe: autoDraw = False
5.8136 	EXP 	Fixation: autoDraw = True
5.9496 	EXP 	Device response: <KeyPress from None: t=5.7662364998832345, value=x, duration=0.17643680004402995>
6.8156 	EXP 	Fixation: autoDraw = False
6.8156 	EXP 	Line1: autoDraw = True
6.8156 	EXP 	line2: autoDraw = True
6.8156 	EXP 	line3: autoDraw = True
6.8156 	EXP 	line4: autoDraw = True
7.8166 	INFO 	Keyboard events cleared
7.8164 	EXP 	probe: autoDraw = True
8.7652 	EXP 	Device response: <KeyPress from None: t=8.750811300007626, value=v, duration=None>
