pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Welcome.started,text.started,Welcome.stopped,trial.started,Fixation.started,Line1.started,line2.started,line3.started,line4.started,Fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,Thank_You.started,text_2.started,text_2.stopped,Thank_You.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,0.01149720000103116,0.02897920017130673,3.0133587000891566,,,,,,,,,,,,,,,,,,,,,,,2,001,2025-10-03_16h07.43.707,Motor Sequence 4.0,,2025.1.1,59.94779750708082,2025-10-03 16h08.08.348535 +0530,
-50,x,0,0,0,x,1,1.3239873999264091,None,0,0,0,0,,,,,3.04461030010134,,,,,3.0251391001511365,3.04461030010134,4.012780999997631,4.012780999997631,4.012780999997631,4.012780999997631,4.045314300106838,5.011698700021952,5.011698700021952,6.368332100100815,x,1,1.3239873999264091,None,,,,,,,,,2,001,2025-10-03_16h07.43.707,Motor Sequence 4.0,,2025.1.1,59.94779750708082,2025-10-03 16h08.08.348535 +0530,
150,v,1,1,0,v,1,0.833978199865669,None,0,1,1,1,,,,,6.376481000101194,,,,,6.368553600041196,6.376481000101194,7.378616200061515,7.378616200061515,7.378616200061515,7.378616200061515,7.378616200061515,8.378223899984732,8.378223899984732,9.213097300147638,v,1,0.833978199865669,None,,,,,,,,,2,001,2025-10-03_16h07.43.707,Motor Sequence 4.0,,2025.1.1,59.94779750708082,2025-10-03 16h08.08.348535 +0530,
50,c,2,2,0,c,1,1.4267307999543846,None,0,2,2,2,,,,,9.227593600051478,,,,,9.2134609001223,9.227593600051478,10.227641800185665,10.227641800185665,10.227641800185665,10.227641800185665,10.227641800185665,11.227208000142127,11.227208000142127,12.662076400127262,c,1,1.4267307999543846,None,,,,,,,,,2,001,2025-10-03_16h07.43.707,Motor Sequence 4.0,,2025.1.1,59.94779750708082,2025-10-03 16h08.08.348535 +0530,
-150,z,3,3,0,z,1,0.46239549992606044,None,0,3,3,3,,,,,12.676953500136733,,,,,12.66255240002647,12.676953500136733,13.677175800083205,13.677175800083205,13.677175800083205,13.677175800083205,13.677175800083205,14.677553800167516,14.677553800167516,15.144824200076982,z,1,0.46239549992606044,None,,,,,,,,,2,001,2025-10-03_16h07.43.707,Motor Sequence 4.0,,2025.1.1,59.94779750708082,2025-10-03 16h08.08.348535 +0530,
-50,x,4,0,1,x,1,0.3751326999627054,None,1,0,4,0,,,,,15.16083040018566,,,,,15.145511100068688,15.16083040018566,16.14379770006053,16.14379770006053,16.14379770006053,16.14379770006053,16.160420900210738,17.160620199982077,17.160620199982077,17.544766700128093,x,1,0.3751326999627054,None,,,,,,,,,2,001,2025-10-03_16h07.43.707,Motor Sequence 4.0,,2025.1.1,59.94779750708082,2025-10-03 16h08.08.348535 +0530,
150,v,5,1,1,v,1,0.35671580000780523,None,1,1,5,1,,,,,17.560431400081143,,,,,17.545262900181115,17.560431400081143,18.55987220001407,18.55987220001407,18.55987220001407,18.55987220001407,18.55987220001407,19.56008610012941,19.56008610012941,19.927245400147513,v,1,0.35671580000780523,None,,,,,,,,,2,001,2025-10-03_16h07.43.707,Motor Sequence 4.0,,2025.1.1,59.94779750708082,2025-10-03 16h08.08.348535 +0530,
50,c,6,2,1,c,1,0.30173219996504486,None,1,2,6,2,,,,,19.94298330019228,,,,,19.927641100017354,19.94298330019228,20.92660170001909,20.92660170001909,20.92660170001909,20.92660170001909,20.943563600070775,21.925973600009456,21.925973600009456,22.243932500015944,c,1,0.30173219996504486,None,,,,,,,,,2,001,2025-10-03_16h07.43.707,Motor Sequence 4.0,,2025.1.1,59.94779750708082,2025-10-03 16h08.08.348535 +0530,
-150,z,7,3,1,z,1,0.34630020009353757,None,1,3,7,3,,,,,22.258942699991167,,,,,22.244171700207517,22.258942699991167,23.242746400181204,23.242746400181204,23.242746400181204,23.242746400181204,23.259373400127515,24.24305220018141,24.24305220018141,24.59355490002781,z,1,0.34630020009353757,None,,,,,,,,,2,001,2025-10-03_16h07.43.707,Motor Sequence 4.0,,2025.1.1,59.94779750708082,2025-10-03 16h08.08.348535 +0530,
-50,x,8,0,2,x,1,0.4316558998543769,None,2,0,8,0,,,,,24.609020000090823,,,,,24.59395240014419,24.609020000090823,25.593568400014192,25.593568400014192,25.593568400014192,25.593568400014192,25.60947860009037,26.608740200055763,26.608740200055763,27.04305259999819,x,1,0.4316558998543769,None,,,,,,,,,2,001,2025-10-03_16h07.43.707,Motor Sequence 4.0,,2025.1.1,59.94779750708082,2025-10-03 16h08.08.348535 +0530,
150,v,9,1,2,v,1,0.49328100006096065,None,2,1,9,1,,,,,27.05914210015908,,,,,27.043398700188845,27.05914210015908,28.041829300113022,28.041829300113022,28.041829300113022,28.041829300113022,28.05887050018646,29.058090600185096,29.058090600185096,29.56011790013872,v,1,0.49328100006096065,None,,,,,,,,,2,001,2025-10-03_16h07.43.707,Motor Sequence 4.0,,2025.1.1,59.94779750708082,2025-10-03 16h08.08.348535 +0530,
50,c,10,2,2,c,1,0.3518113000318408,None,2,2,10,2,,,,,29.57574260002002,,,,,29.560411100042984,29.57574260002002,30.57603760017082,30.57603760017082,30.57603760017082,30.57603760017082,30.57603760017082,31.575801800005138,31.575801800005138,31.94219040009193,c,1,0.3518113000318408,None,,,,,,,,,2,001,2025-10-03_16h07.43.707,Motor Sequence 4.0,,2025.1.1,59.94779750708082,2025-10-03 16h08.08.348535 +0530,
-150,z,11,3,2,z,1,0.3820636000018567,None,2,3,11,3,,,,,31.95824890001677,,,,,31.942562200129032,31.95824890001677,32.94128970010206,32.94128970010206,32.94128970010206,32.94128970010206,32.95845700008795,33.94185040006414,33.94185040006414,34.32583290012553,z,1,0.3820636000018567,None,,,,,,,,,2,001,2025-10-03_16h07.43.707,Motor Sequence 4.0,,2025.1.1,59.94779750708082,2025-10-03 16h08.08.348535 +0530,
-50,x,12,0,3,x,1,0.5847176001407206,None,3,0,12,0,,,,,34.34132370003499,,,,,34.32621389999986,34.34132370003499,35.32475080015138,35.32475080015138,35.32475080015138,35.32475080015138,35.341222000075504,36.34057500003837,36.34057500003837,36.942034900188446,x,1,0.5847176001407206,None,,,,,,,,,2,001,2025-10-03_16h07.43.707,Motor Sequence 4.0,,2025.1.1,59.94779750708082,2025-10-03 16h08.08.348535 +0530,
150,v,13,1,3,v,1,0.3899566999170929,None,3,1,13,1,,,,,36.95734419999644,,,,,36.94231760012917,36.95734419999644,37.94124420010485,37.94124420010485,37.94124420010485,37.94124420010485,37.957781500183046,38.94129670015536,38.94129670015536,39.34185199998319,v,1,0.3899566999170929,None,,,,,,,,,2,001,2025-10-03_16h07.43.707,Motor Sequence 4.0,,2025.1.1,59.94779750708082,2025-10-03 16h08.08.348535 +0530,
50,c,14,2,3,c,1,0.36214879993349314,None,3,2,14,2,,,,,39.357799200108275,,,,,39.3422070001252,39.357799200108275,40.34070740011521,40.34070740011521,40.34070740011521,40.34070740011521,40.35779070015997,41.35786210000515,41.35786210000515,41.724713100120425,c,1,0.36214879993349314,None,,,,,,,,,2,001,2025-10-03_16h07.43.707,Motor Sequence 4.0,,2025.1.1,59.94779750708082,2025-10-03 16h08.08.348535 +0530,
-150,z,15,3,3,z,1,0.4816014999523759,None,3,3,15,3,,,,,41.740596200106665,,,,,41.72517570015043,41.740596200106665,42.723995600128546,42.723995600128546,42.723995600128546,42.723995600128546,42.740887500112876,43.74172869999893,43.74172869999893,44.22434530011378,z,1,0.4816014999523759,None,,,,,,,,,2,001,2025-10-03_16h07.43.707,Motor Sequence 4.0,,2025.1.1,59.94779750708082,2025-10-03 16h08.08.348535 +0530,
-50,x,16,0,4,x,1,0.33908140007406473,None,4,0,16,0,,,,,44.23959270003252,,,,,44.22484969999641,44.23959270003252,45.239588000113145,45.239588000113145,45.239588000113145,45.239588000113145,45.239588000113145,46.24012690014206,46.24012690014206,46.590594900073484,x,1,0.33908140007406473,None,,,,,,,,,2,001,2025-10-03_16h07.43.707,Motor Sequence 4.0,,2025.1.1,59.94779750708082,2025-10-03 16h08.08.348535 +0530,
150,v,17,1,4,v,1,0.5842148999217898,None,4,1,17,1,,,,,46.60728530003689,,,,,46.59102310007438,46.60728530003689,47.5904487001244,47.5904487001244,47.5904487001244,47.5904487001244,47.60789370001294,48.60641560005024,48.60641560005024,49.20657470007427,v,1,0.5842148999217898,None,,,,,,,,,2,001,2025-10-03_16h07.43.707,Motor Sequence 4.0,,2025.1.1,59.94779750708082,2025-10-03 16h08.08.348535 +0530,
50,c,18,2,4,c,1,0.3656633000355214,None,4,2,18,2,,,,,49.22191260010004,,,,,49.20695760007948,49.22191260010004,50.206504500005394,50.206504500005394,50.206504500005394,50.206504500005394,50.222887500189245,51.20590280019678,51.20590280019678,51.57362070004456,c,1,0.3656633000355214,None,,,,,,,,,2,001,2025-10-03_16h07.43.707,Motor Sequence 4.0,,2025.1.1,59.94779750708082,2025-10-03 16h08.08.348535 +0530,
-150,z,19,3,4,z,1,0.4437893000431359,None,4,3,19,3,,,,,51.58974920003675,,,,,51.57405610010028,51.58974920003675,52.57326450012624,52.57326450012624,52.57326450012624,52.57326450012624,52.593043900094926,53.588539000134915,53.588539000134915,54.038498900132254,z,1,0.4437893000431359,None,,,,,,,,,2,001,2025-10-03_16h07.43.707,Motor Sequence 4.0,,2025.1.1,59.94779750708082,2025-10-03 16h08.08.348535 +0530,
-50,x,20,0,5,x,1,0.540468200109899,None,5,0,20,0,,,,,54.05477130017243,,,,,54.03880750015378,54.05477130017243,55.03828450012952,55.03828450012952,55.03828450012952,55.03828450012952,55.0553985000588,56.03852820000611,56.03852820000611,56.58979460014962,x,1,0.540468200109899,None,,,,,,,,,2,001,2025-10-03_16h07.43.707,Motor Sequence 4.0,,2025.1.1,59.94779750708082,2025-10-03 16h08.08.348535 +0530,
150,v,21,1,5,v,1,0.6118896000552922,None,5,1,21,1,,,,,56.60488140000962,,,,,56.59028590004891,56.60488140000962,57.60504829999991,57.60504829999991,57.60504829999991,57.60504829999991,57.60504829999991,58.604632400209084,58.604632400209084,59.223111800150946,v,1,0.6118896000552922,None,,,,,,,,,2,001,2025-10-03_16h07.43.707,Motor Sequence 4.0,,2025.1.1,59.94779750708082,2025-10-03 16h08.08.348535 +0530,
50,c,22,2,5,c,1,0.5909733998123556,None,5,2,22,2,,,,,59.2387716001831,,,,,59.22358960006386,59.2387716001831,60.23685170011595,60.23685170011595,60.23685170011595,60.23685170011595,60.254332000156865,61.23685510014184,61.23685510014184,61.83864870015532,c,1,0.5909733998123556,None,,,,,,,,,2,001,2025-10-03_16h07.43.707,Motor Sequence 4.0,,2025.1.1,59.94779750708082,2025-10-03 16h08.08.348535 +0530,
-150,z,23,3,5,z,1,0.5939279000740498,None,5,3,23,3,,,,,61.85382130020298,,,,,61.83910940005444,61.85382130020298,62.8376961001195,62.8376961001195,62.8376961001195,62.8376961001195,62.854496699990705,63.853719800012186,63.853719800012186,64.45476450002752,z,1,0.5939279000740498,None,,,,,,,,,2,001,2025-10-03_16h07.43.707,Motor Sequence 4.0,,2025.1.1,59.94779750708082,2025-10-03 16h08.08.348535 +0530,
-50,x,24,0,6,x,1,0.7542750001884997,None,6,0,24,0,,,,,64.47103830007836,,,,,64.45511860004626,64.47103830007836,65.45341600012034,65.45341600012034,65.45341600012034,65.45341600012034,65.4703474000562,66.46981779998168,66.46981779998168,67.23698290018365,x,1,0.7542750001884997,None,,,,,,,,,2,001,2025-10-03_16h07.43.707,Motor Sequence 4.0,,2025.1.1,59.94779750708082,2025-10-03 16h08.08.348535 +0530,
150,v,25,1,6,v,1,0.4893104999791831,None,6,1,25,1,,,,,67.2533749002032,,,,,67.23729449999519,67.2533749002032,68.23613610002212,68.23613610002212,68.23613610002212,68.23613610002212,68.25314340018667,69.23592990008183,69.23592990008183,69.73628580011427,v,1,0.4893104999791831,None,,,,,,,,,2,001,2025-10-03_16h07.43.707,Motor Sequence 4.0,,2025.1.1,59.94779750708082,2025-10-03 16h08.08.348535 +0530,
