pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Welcome.started,text.started,Welcome.stopped,trial.started,Fixation.started,Line1.started,line2.started,line3.started,line4.started,Fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,Thank_You.started,text_2.started,text_2.stopped,Thank_You.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,0.010393999982625246,0.02786900009959936,3.011515400139615,,,,,,,,,,,,,,,,,,,,,,,3,001,2025-10-03_17h37.08.850,Motor Sequence 4.0,,2025.1.1,59.74875647179773,2025-10-03 17h37.20.456352 +0530,
-50,x,0,0,0,x,1,0.6608576001599431,None,0,0,0,0,,,,,3.0428963999729604,,,,,3.0227679000236094,3.0428963999729604,4.010947400005534,4.010947400005534,4.010947400005534,4.010947400005534,4.044426999986172,5.011344500118867,5.011344500118867,5.6931861999910325,x,1,0.6608576001599431,None,,,,,,,,,3,001,2025-10-03_17h37.08.850,Motor Sequence 4.0,,2025.1.1,59.74875647179773,2025-10-03 17h37.20.456352 +0530,
150,v,1,1,0,v,1,0.4441040998790413,None,0,1,1,1,,,,,5.70948990015313,,,,,5.693709900137037,5.70948990015313,6.694186600157991,6.694186600157991,6.694186600157991,6.694186600157991,6.710751499980688,7.694289700128138,7.694289700128138,8.14462640020065,v,1,0.4441040998790413,None,,,,,,,,,3,001,2025-10-03_17h37.08.850,Motor Sequence 4.0,,2025.1.1,59.74875647179773,2025-10-03 17h37.20.456352 +0530,
50,c,2,2,0,c,1,0.47054059989750385,None,0,2,2,2,,,,,8.160224399995059,,,,,8.145124100148678,8.160224399995059,9.144154299981892,9.144154299981892,9.144154299981892,9.144154299981892,9.160871300147846,10.144063499988988,10.144063499988988,10.627795699983835,c,1,0.47054059989750385,None,,,,,,,,,3,001,2025-10-03_17h37.08.850,Motor Sequence 4.0,,2025.1.1,59.74875647179773,2025-10-03 17h37.20.456352 +0530,
-150,z,3,3,0,z,1,0.4239676999859512,None,0,3,3,3,,,,,10.64363389997743,,,,,10.628322700038552,10.64363389997743,11.626877200091258,11.626877200091258,11.626877200091258,11.626877200091258,11.64352080016397,12.642356700031087,12.642356700031087,13.075886400183663,z,1,0.4239676999859512,None,,,,,,,,,3,001,2025-10-03_17h37.08.850,Motor Sequence 4.0,,2025.1.1,59.74875647179773,2025-10-03 17h37.20.456352 +0530,
-50,x,4,0,1,x,1,0.4402616999577731,None,1,0,4,0,,,,,13.09206260018982,,,,,13.076130700064823,13.09206260018982,14.077318000141531,14.077318000141531,14.077318000141531,14.077318000141531,14.093551700003445,15.076706000138074,15.076706000138074,15.526780300075188,x,1,0.4402616999577731,None,,,,,,,,,3,001,2025-10-03_17h37.08.850,Motor Sequence 4.0,,2025.1.1,59.74875647179773,2025-10-03 17h37.20.456352 +0530,
150,v,5,1,1,v,1,0.3974015999119729,None,1,1,5,1,,,,,15.54322350001894,,,,,15.52726300014183,15.54322350001894,16.526585299987346,16.526585299987346,16.526585299987346,16.526585299987346,16.54299410013482,17.526017900090665,17.526017900090665,17.927133500110358,v,1,0.3974015999119729,None,,,,,,,,,3,001,2025-10-03_17h37.08.850,Motor Sequence 4.0,,2025.1.1,59.74875647179773,2025-10-03 17h37.20.456352 +0530,
50,c,6,2,1,c,1,0.42824219982139766,None,1,2,6,2,,,,,17.942769200075418,,,,,17.92763330019079,17.942769200075418,18.926043700193986,18.926043700193986,18.926043700193986,18.926043700193986,18.94266980001703,19.925857600057498,19.925857600057498,20.35962860006839,c,1,0.42824219982139766,None,,,,,,,,,3,001,2025-10-03_17h37.08.850,Motor Sequence 4.0,,2025.1.1,59.74875647179773,2025-10-03 17h37.20.456352 +0530,
-150,z,7,3,1,z,1,0.3654324000235647,None,1,3,7,3,,,,,20.37585090007633,,,,,20.3601049000863,20.37585090007633,21.35938709997572,21.35938709997572,21.35938709997572,21.35938709997572,21.375470499973744,22.35933950007893,22.35933950007893,22.726606599986553,z,1,0.3654324000235647,None,,,,,,,,,3,001,2025-10-03_17h37.08.850,Motor Sequence 4.0,,2025.1.1,59.74875647179773,2025-10-03 17h37.20.456352 +0530,
-50,x,8,0,2,x,1,0.32579399994574487,None,2,0,8,0,,,,,22.741666000103578,,,,,22.727092900080606,22.741666000103578,23.726065800059587,23.726065800059587,23.726065800059587,23.726065800059587,23.7428470000159,24.726073099998757,24.726073099998757,25.0596895001363,x,1,0.32579399994574487,None,,,,,,,,,3,001,2025-10-03_17h37.08.850,Motor Sequence 4.0,,2025.1.1,59.74875647179773,2025-10-03 17h37.20.456352 +0530,
