reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Welcome.started,text_2.started,Welcome.stopped,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.017570900032296777,0.035480699967592955,4.0022291000932455,,,,,,402463,001,2025-11-03_15h26.52.401,Delay discounting,,2025.1.1,60.084165896955135,2025-11-03 15h27.02.172261 +0530,
53,92,57,0,0,0,0,0,0,80,4.0500539999920875,,,,,4.0362492999993265,4.0500539999920875,5.002037100028247,5.002037100028247,5.0509450999088585,,,,,,,,,
