reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Welcome.started,text_2.started,Welcome.stopped,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,thank_you.started,thank_you.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,0.018205299973487854,0.03641489997971803,4.0034287999151275,,,,,,,,,,,,4,001,2025-10-31_13h24.45.213,Delay discounting,,2025.1.1,60.0044163027845,2025-10-31 13h24.51.609289 +0530,
20,63,122,0,0,0,l,22.467709699994884,None,0,0,0,36,4.034732199972495,,,,,4.027410399983637,4.034732199972495,5.002741399919614,5.002741399919614,5.036066300002858,27.491430799942464,l,22.467709699994884,None,,,4,001,2025-10-31_13h24.45.213,Delay discounting,,2025.1.1,60.0044163027845,2025-10-31 13h24.51.609289 +0530,
14,48,48,1,1,0,l,13.233035000041127,None,0,1,1,24,27.515002999920398,,,,,27.501560600008816,27.515002999920398,28.499720499967225,28.499720499967225,28.516355099971406,41.74855879996903,l,13.233035000041127,None,,,4,001,2025-10-31_13h24.45.213,Delay discounting,,2025.1.1,60.0044163027845,2025-10-31 13h24.51.609289 +0530,
78,99,116,2,2,0,t,2.817240900010802,None,0,2,2,15,41.76449989993125,,,,,41.75785209995229,41.76449989993125,42.747603299911134,42.747603299911134,42.76473830000032,45.58159419998992,t,2.817240900010802,None,,,4,001,2025-10-31_13h24.45.213,Delay discounting,,2025.1.1,60.0044163027845,2025-10-31 13h24.51.609289 +0530,
41,62,25,3,3,0,l,14.666290099965408,None,0,3,3,93,45.59741549997125,,,,,45.58918010001071,45.59741549997125,46.580642199958675,46.580642199958675,46.59748919995036,61.262662099907175,l,14.666290099965408,None,,,4,001,2025-10-31_13h24.45.213,Delay discounting,,2025.1.1,60.0044163027845,2025-10-31 13h24.51.609289 +0530,
62,88,98,4,4,0,t,20.15134920005221,None,0,4,4,79,61.27899369993247,,,,,61.268952399957925,61.27899369993247,62.26190439995844,62.26190439995844,62.27881169994362,82.42700169992168,t,20.15134920005221,None,,,4,001,2025-10-31_13h24.45.213,Delay discounting,,2025.1.1,60.0044163027845,2025-10-31 13h24.51.609289 +0530,
50,90,117,5,5,0,t,2.6080856999615207,None,0,5,5,7,82.44324920000508,,,,,82.43235029990319,82.44324920000508,83.44251949992031,83.44251949992031,83.44251949992031,86.05977069993969,t,2.6080856999615207,None,,,4,001,2025-10-31_13h24.45.213,Delay discounting,,2025.1.1,60.0044163027845,2025-10-31 13h24.51.609289 +0530,
32,70,26,6,6,0,t,4.741035399958491,None,0,6,6,95,86.07535959989764,,,,,86.06592109997291,86.07535959989764,87.07578149996698,87.07578149996698,87.07578149996698,91.8254445999628,t,4.741035399958491,None,,,4,001,2025-10-31_13h24.45.213,Delay discounting,,2025.1.1,60.0044163027845,2025-10-31 13h24.51.609289 +0530,
19,34,21,7,7,0,l,3.342602499993518,None,0,7,7,22,91.84132060001139,,,,,91.83096499997191,91.84132060001139,92.84151609998662,92.84151609998662,92.84151609998662,96.19137579994276,l,3.342602499993518,None,,,4,001,2025-10-31_13h24.45.213,Delay discounting,,2025.1.1,60.0044163027845,2025-10-31 13h24.51.609289 +0530,
67,110,107,8,8,0,t,11.288092200062238,None,0,8,8,61,96.20710459991824,,,,,96.19762099999934,96.20710459991824,97.19121620000806,97.19121620000806,97.20757599989884,108.48996879998595,t,11.288092200062238,None,,,4,001,2025-10-31_13h24.45.213,Delay discounting,,2025.1.1,60.0044163027845,2025-10-31 13h24.51.609289 +0530,
