reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Welcome.started,text_2.started,Welcome.stopped,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,thank_you.started,thank_you.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,0.018956399988383055,0.03591959993354976,4.002960099955089,,,,,,,,,,,,3,001,2025-10-31_13h18.06.870,Delay discounting,,2025.1.1,60.25119930504574,2025-10-31 13h18.11.961902 +0530,
19,50,77,0,0,0,t,7.223586900043301,None,0,0,0,49,4.03419319994282,,,,,4.027876199921593,4.03419319994282,5.002486899960786,5.002486899960786,5.036234900006093,12.24370320001617,t,7.223586900043301,None,,,3,001,2025-10-31_13h18.06.870,Delay discounting,,2025.1.1,60.25119930504574,2025-10-31 13h18.11.961902 +0530,
46,102,84,1,1,0,l,1.8762812999775633,None,0,1,1,84,12.267640499980189,,,,,12.255810900009237,12.267640499980189,13.251889399951324,13.251889399951324,13.268821300007403,15.13543889997527,l,1.8762812999775633,None,,,3,001,2025-10-31_13h18.06.870,Delay discounting,,2025.1.1,60.25119930504574,2025-10-31 13h18.11.961902 +0530,
30,70,25,2,2,0,l,2.469799099955708,None,0,2,2,51,15.151562699931674,,,,,15.143191599985585,15.151562699931674,16.13476459996309,16.13476459996309,16.15115439996589,18.618419599952176,l,2.469799099955708,None,,,3,001,2025-10-31_13h18.06.870,Delay discounting,,2025.1.1,60.25119930504574,2025-10-31 13h18.11.961902 +0530,
48,105,143,3,3,0,l,6.096092000021599,None,0,3,3,59,18.63491379993502,,,,,18.624125699978322,18.63491379993502,19.617316799936816,19.617316799936816,19.634491799981333,25.717776599922217,l,6.096092000021599,None,,,3,001,2025-10-31_13h18.06.870,Delay discounting,,2025.1.1,60.25119930504574,2025-10-31 13h18.11.961902 +0530,
57,82,118,4,4,0,l,1.312402999959886,None,0,4,4,25,25.73395519994665,,,,,25.72369609994348,25.73395519994665,26.71739429992158,26.71739429992158,26.73383029992692,28.03414080000948,l,1.312402999959886,None,,,3,001,2025-10-31_13h18.06.870,Delay discounting,,2025.1.1,60.25119930504574,2025-10-31 13h18.11.961902 +0530,
53,98,88,5,5,0,t,3.2207752000540495,None,0,5,5,63,28.050285600009374,,,,,28.039766800007783,28.050285600009374,29.03236549999565,29.03236549999565,29.066574499942362,32.26650869997684,t,3.2207752000540495,None,,,3,001,2025-10-31_13h18.06.870,Delay discounting,,2025.1.1,60.25119930504574,2025-10-31 13h18.11.961902 +0530,
16,45,85,6,6,0,l,3.0036418000236154,None,0,6,6,16,32.28248419996817,,,,,32.272605899954215,32.28248419996817,33.26596609991975,33.26596609991975,33.28271679999307,36.28319839993492,l,3.0036418000236154,None,,,3,001,2025-10-31_13h18.06.870,Delay discounting,,2025.1.1,60.25119930504574,2025-10-31 13h18.11.961902 +0530,
60,101,120,7,7,0,t,6.015041399979964,None,0,7,7,20,36.298594199935906,,,,,36.288679699995555,36.298594199935906,37.298755099996924,37.298755099996924,37.298755099996924,43.31524809997063,t,6.015041399979964,None,,,3,001,2025-10-31_13h18.06.870,Delay discounting,,2025.1.1,60.25119930504574,2025-10-31 13h18.11.961902 +0530,
75,112,103,8,8,0,l,1.6500997999683022,None,0,8,8,54,43.33088699996006,,,,,43.321072899969295,43.33088699996006,44.31469989998732,44.31469989998732,44.331232699914835,45.98098889994435,l,1.6500997999683022,None,,,3,001,2025-10-31_13h18.06.870,Delay discounting,,2025.1.1,60.25119930504574,2025-10-31 13h18.11.961902 +0530,
68,81,73,9,9,0,l,4.396945999935269,None,0,9,9,35,45.99744730000384,,,,,45.98641669994686,45.99744730000384,46.980927699944004,46.980927699944004,46.99767369998153,51.380824299994856,l,4.396945999935269,None,,,3,001,2025-10-31_13h18.06.870,Delay discounting,,2025.1.1,60.25119930504574,2025-10-31 13h18.11.961902 +0530,
40,88,137,10,10,0,t,7.153831099974923,None,0,10,10,9,51.39640159998089,,,,,51.38675539998803,51.39640159998089,52.3796030000085,52.3796030000085,52.396274099941365,59.54661019996274,t,7.153831099974923,None,,,3,001,2025-10-31_13h18.06.870,Delay discounting,,2025.1.1,60.25119930504574,2025-10-31 13h18.11.961902 +0530,
36,64,31,11,11,0,l,4.9909772999817505,None,0,11,11,58,59.56228449998889,,,,,59.552236899966374,59.56228449998889,60.54594629991334,60.54594629991334,60.56252739997581,65.5458881999366,l,4.9909772999817505,None,,,3,001,2025-10-31_13h18.06.870,Delay discounting,,2025.1.1,60.25119930504574,2025-10-31 13h18.11.961902 +0530,
79,118,144,12,12,0,t,3.926948199979961,None,0,12,12,39,65.56119429995306,,,,,65.55198899994139,65.56119429995306,66.56188489997294,66.56188489997294,66.56188489997294,70.49474290001672,t,3.926948199979961,None,,,3,001,2025-10-31_13h18.06.870,Delay discounting,,2025.1.1,60.25119930504574,2025-10-31 13h18.11.961902 +0530,
76,124,162,13,13,0,t,1.6576063999673352,None,0,13,13,94,70.51089899998624,,,,,70.50013099994976,70.51089899998624,71.49457019998226,71.49457019998226,71.51088319998235,73.16190539998934,t,1.6576063999673352,None,,,3,001,2025-10-31_13h18.06.870,Delay discounting,,2025.1.1,60.25119930504574,2025-10-31 13h18.11.961902 +0530,
62,91,118,14,14,0,t,3.330383300082758,None,0,14,14,74,73.17718300002161,,,,,73.16825689992402,73.17718300002161,74.17744040000252,74.17744040000252,74.17744040000252,77.51102149998769,t,3.330383300082758,None,,,3,001,2025-10-31_13h18.06.870,Delay discounting,,2025.1.1,60.25119930504574,2025-10-31 13h18.11.961902 +0530,
46,100,88,15,15,0,l,1.0081425999524072,None,0,15,15,40,77.52620520000346,,,,,77.51533169997856,77.52620520000346,78.52681259997189,78.52681259997189,78.52681259997189,79.54361819999758,l,1.0081425999524072,None,,,3,001,2025-10-31_13h18.06.870,Delay discounting,,2025.1.1,60.25119930504574,2025-10-31 13h18.11.961902 +0530,
19,50,82,16,16,0,l,1.6439566999906674,None,0,16,16,31,79.55970280000474,,,,,79.54994729999453,79.55970280000474,80.5434121999424,80.5434121999424,80.55971129995305,82.1938216999406,l,1.6439566999906674,None,,,3,001,2025-10-31_13h18.06.870,Delay discounting,,2025.1.1,60.25119930504574,2025-10-31 13h18.11.961902 +0530,
38,65,177,17,17,0,t,1.8127827999414876,None,0,17,17,57,82.20950509991962,,,,,82.19899850001093,82.20950509991962,83.20958809996955,83.20958809996955,83.20958809996955,85.02666119998321,t,1.8127827999414876,None,,,3,001,2025-10-31_13h18.06.870,Delay discounting,,2025.1.1,60.25119930504574,2025-10-31 13h18.11.961902 +0530,
62,88,98,18,18,0,t,1.5435667000710964,None,0,18,18,79,85.04235759994481,,,,,85.03282159997616,85.04235759994481,86.026097199996,86.026097199996,86.04274579999037,87.57615570002235,t,1.5435667000710964,None,,,3,001,2025-10-31_13h18.06.870,Delay discounting,,2025.1.1,60.25119930504574,2025-10-31 13h18.11.961902 +0530,
32,73,58,19,19,0,l,1.64050789992325,None,0,19,19,66,87.59176580002531,,,,,87.58161669992842,87.59176580002531,88.57560039998498,88.57560039998498,88.59196069999598,90.22594609996304,l,1.64050789992325,None,,,3,001,2025-10-31_13h18.06.870,Delay discounting,,2025.1.1,60.25119930504574,2025-10-31 13h18.11.961902 +0530,
61,114,97,20,20,0,l,1.1561085999710485,None,0,20,20,43,90.24163880001288,,,,,90.2315845999401,90.24163880001288,91.22532680002041,91.22532680002041,91.24187509994954,92.39181579998694,l,1.1561085999710485,None,,,3,001,2025-10-31_13h18.06.870,Delay discounting,,2025.1.1,60.25119930504574,2025-10-31 13h18.11.961902 +0530,
81,125,130,21,21,0,t,1.9570287999231368,None,0,21,21,48,92.40803479996976,,,,,92.39736780000385,92.40803479996976,93.39189440000337,93.39189440000337,93.40790819993708,95.35800100001507,t,1.9570287999231368,None,,,3,001,2025-10-31_13h18.06.870,Delay discounting,,2025.1.1,60.25119930504574,2025-10-31 13h18.11.961902 +0530,
29,52,67,22,22,0,l,2.6084625999210402,None,0,22,22,29,95.37409719999414,,,,,95.36357950000092,95.37409719999414,96.35787860001437,96.35787860001437,96.37452189996839,98.9746879999293,l,2.6084625999210402,None,,,3,001,2025-10-31_13h18.06.870,Delay discounting,,2025.1.1,60.25119930504574,2025-10-31 13h18.11.961902 +0530,
65,93,97,23,23,0,l,1.8582336000399664,None,0,23,23,23,98.9902692999458,,,,,98.98014020000119,98.9902692999458,99.97434219997376,99.97434219997376,99.99071809998713,101.84144909994211,l,1.8582336000399664,None,,,3,001,2025-10-31_13h18.06.870,Delay discounting,,2025.1.1,60.25119930504574,2025-10-31 13h18.11.961902 +0530,
50,90,117,24,24,0,t,12.659214699990116,None,0,24,24,7,101.85675299994182,,,,,101.84730010002386,101.85675299994182,102.85686930001248,102.85686930001248,102.85686930001248,115.52258879994042,t,12.659214699990116,None,,,3,001,2025-10-31_13h18.06.870,Delay discounting,,2025.1.1,60.25119930504574,2025-10-31 13h18.11.961902 +0530,
63,111,167,25,25,0,t,3.0460316000971943,None,0,25,25,32,115.53817399998661,,,,,115.52789709996432,115.53817399998661,116.52189650002401,116.52189650002401,116.53841599996667,119.57224010000937,t,3.0460316000971943,None,,,3,001,2025-10-31_13h18.06.870,Delay discounting,,2025.1.1,60.25119930504574,2025-10-31 13h18.11.961902 +0530,
19,34,21,26,26,0,l,2.659396200091578,None,0,26,26,22,119.5877795999404,,,,,119.57841900002677,119.5877795999404,120.57132739992812,120.57132739992812,120.58810599998105,123.23805980000179,l,2.659396200091578,None,,,3,001,2025-10-31_13h18.06.870,Delay discounting,,2025.1.1,60.25119930504574,2025-10-31 13h18.11.961902 +0530,
